14.01.2019 00:23:49: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:50: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:50: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:23:50: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:50: 0h 4min | Aquaman(76561198095943386) | Player gained 3000000 cash within 0.1 seconds.
14.01.2019 00:23:50: 0h 4min | Aquaman(76561198095943386) | Player gained 4999984 cash within 0.1 seconds.
14.01.2019 00:23:50: 0h 4min | Aquaman(76561198095943386) | Player gained 4999984 cash within 0.1 seconds.
14.01.2019 00:23:50: 0h 4min | Aquaman(76561198095943386) | Player gained 4999984 cash within 0.1 seconds.
14.01.2019 00:23:50: 0h 4min | Aquaman(76561198095943386) | Player gained 4999984 cash within 0.1 seconds.
14.01.2019 00:23:51: 0h 4min | Aquaman(76561198095943386) | Player gained 4999968 cash within 0.1 seconds.
14.01.2019 00:23:51: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:23:51: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:23:51: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:51: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:51: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:51: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:51: 0h 4min | Aquaman(76561198095943386) | Player gained 6000000 cash within 0.1 seconds.
14.01.2019 00:23:51: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:52: 0h 4min | Aquaman(76561198095943386) | Player gained 6000000 cash within 0.1 seconds.
14.01.2019 00:23:52: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:52: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:52: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:23:52: 0h 4min | Aquaman(76561198095943386) | Player gained 6000000 cash within 0.1 seconds.
14.01.2019 00:23:52: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:52: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:52: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:23:52: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:23:52: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:23:52: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:23:52: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:53: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:53: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:53: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:53: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:53: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:53: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:53: 0h 4min | Aquaman(76561198095943386) | Player gained 6000000 cash within 0.1 seconds.
14.01.2019 00:23:54: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:54: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:54: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:54: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:54: 0h 4min | Aquaman(76561198095943386) | Player gained 3000000 cash within 0.1 seconds.
14.01.2019 00:23:54: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:54: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:54: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:54: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:23:54: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:55: 0h 4min | Aquaman(76561198095943386) | Player gained 6000000 cash within 0.1 seconds.
14.01.2019 00:23:55: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:55: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:55: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:55: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:23:55: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:23:55: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:55: 0h 4min | Aquaman(76561198095943386) | Player gained 6000000 cash within 0.1 seconds.
14.01.2019 00:23:55: 0h 4min | Aquaman(76561198095943386) | Player gained 3999968 cash within 0.1 seconds.
14.01.2019 00:23:56: 0h 4min | Aquaman(76561198095943386) | Player gained 4999968 cash within 0.1 seconds.
14.01.2019 00:23:56: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:23:56: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:23:56: 0h 4min | Aquaman(76561198095943386) | Player gained 6000000 cash within 0.1 seconds.
14.01.2019 00:23:56: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:56: 0h 4min | Aquaman(76561198095943386) | Player gained 6999968 cash within 0.1 seconds.
14.01.2019 00:23:56: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:23:56: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:57: 0h 4min | Aquaman(76561198095943386) | Player gained 4999936 cash within 0.1 seconds.
14.01.2019 00:23:57: 0h 4min | Aquaman(76561198095943386) | Player gained 6000000 cash within 0.1 seconds.
14.01.2019 00:23:57: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:57: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:23:57: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:57: 0h 4min | Aquaman(76561198095943386) | Player gained 2000000 cash within 0.1 seconds.
14.01.2019 00:23:57: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:57: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:57: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:57: 0h 4min | Aquaman(76561198095943386) | Player gained 6000000 cash within 0.1 seconds.
14.01.2019 00:23:57: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:23:57: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:58: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:58: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:58: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:58: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:23:58: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:58: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:23:58: 0h 4min | Aquaman(76561198095943386) | Player gained 3000000 cash within 0.1 seconds.
14.01.2019 00:23:58: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:23:58: 0h 4min | Aquaman(76561198095943386) | Player gained 6000000 cash within 0.1 seconds.
14.01.2019 00:23:59: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:59: 0h 4min | Aquaman(76561198095943386) | Player gained 2000000 cash within 0.1 seconds.
14.01.2019 00:23:59: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:23:59: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:59: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:23:59: 0h 4min | Aquaman(76561198095943386) | Player gained 6000000 cash within 0.1 seconds.
14.01.2019 00:23:59: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:23:59: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:00: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:00: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:00: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:00: 0h 4min | Aquaman(76561198095943386) | Player gained 6000000 cash within 0.1 seconds.
14.01.2019 00:24:00: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:00: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:00: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:00: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:00: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:01: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:01: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:24:01: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:01: 0h 4min | Aquaman(76561198095943386) | Player gained 6000000 cash within 0.1 seconds.
14.01.2019 00:24:01: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:24:01: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:24:01: 0h 4min | Aquaman(76561198095943386) | Player gained 6000000 cash within 0.1 seconds.
14.01.2019 00:24:01: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:01: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:02: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:02: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:02: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:02: 0h 4min | Aquaman(76561198095943386) | Player gained 6000000 cash within 0.1 seconds.
14.01.2019 00:24:02: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:24:02: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:02: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:02: 0h 4min | Aquaman(76561198095943386) | Player gained 6000000 cash within 0.1 seconds.
14.01.2019 00:24:02: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:02: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:24:02: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:02: 0h 4min | Aquaman(76561198095943386) | Player gained 6000000 cash within 0.1 seconds.
14.01.2019 00:24:03: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:03: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:03: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:03: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:24:03: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:24:03: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:03: 0h 4min | Aquaman(76561198095943386) | Player gained 6000000 cash within 0.1 seconds.
14.01.2019 00:24:03: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:04: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:04: 0h 4min | Aquaman(76561198095943386) | Player gained 6000000 cash within 0.1 seconds.
14.01.2019 00:24:04: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:04: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:04: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:24:04: 0h 4min | Aquaman(76561198095943386) | Player gained 6000000 cash within 0.1 seconds.
14.01.2019 00:24:04: 0h 4min | Aquaman(76561198095943386) | Player gained 6000000 cash within 0.1 seconds.
14.01.2019 00:24:05: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:05: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:05: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:05: 0h 4min | Aquaman(76561198095943386) | Player gained 6000000 cash within 0.1 seconds.
14.01.2019 00:24:05: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:24:05: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:05: 0h 4min | Aquaman(76561198095943386) | Player gained 6000000 cash within 0.1 seconds.
14.01.2019 00:24:05: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:24:05: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:24:06: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:06: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:06: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:06: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:06: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:06: 0h 4min | Aquaman(76561198095943386) | Player gained 4000000 cash within 0.1 seconds.
14.01.2019 00:24:06: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:06: 0h 4min | Aquaman(76561198095943386) | Player gained 6000000 cash within 0.1 seconds.
14.01.2019 00:24:07: 0h 4min | Aquaman(76561198095943386) | Player gained 4999936 cash within 0.1 seconds.
14.01.2019 00:24:07: 0h 4min | Aquaman(76561198095943386) | Player gained 5000064 cash within 0.1 seconds.
14.01.2019 00:24:07: 0h 4min | Aquaman(76561198095943386) | Player gained 6000000 cash within 0.1 seconds.
14.01.2019 00:24:07: 0h 4min | Aquaman(76561198095943386) | Player gained 4999936 cash within 0.1 seconds.
14.01.2019 00:24:07: 0h 4min | Aquaman(76561198095943386) | Player gained 5000064 cash within 0.1 seconds.
14.01.2019 00:24:07: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:07: 0h 4min | Aquaman(76561198095943386) | Player gained 5000000 cash within 0.1 seconds.
14.01.2019 00:24:07: 0h 4min | Aquaman(76561198095943386) | Player gained 3999936 cash within 0.1 seconds.
14.01.2019 00:24:07: 0h 4min | Aquaman(76561198095943386) | Player gained 3999936 cash within 0.1 seconds.
14.01.2019 00:24:07: 0h 4min | Aquaman(76561198095943386) | Player gained 2999936 cash within 0.1 seconds.
14.01.2019 00:26:07: 0h 6min | Aquaman(76561198095943386) | Player gained 10000000 cash within 0.1 seconds.
14.01.2019 00:26:08: 0h 6min | Aquaman(76561198095943386) | Player gained 10000000 cash within 0.1 seconds.
14.01.2019 00:26:08: 0h 6min | Aquaman(76561198095943386) | Player gained 10000000 cash within 0.1 seconds.
